username,id,wallet_address,rewards
kabularasa,744340497207918603,,150000
Rodebrecht,535162289633099786,,30000
GTMan,1213833931418378260,,70000
Standore36,884775127894601739,,70000
Sigmund,204682861863895040,,40000
0xthresh,451587147808636929,,2500
dadapoet,967529589100392599,,2500
jamiebones,702954417946886286,,2500
kingdavid5200,1163005980481703956,,2500
mma_et_defi,827329739815256124,,2500
k34l3,588717824483000331,,2500
l_zava,932209540471066636,,2500
