username,github,wallet_address,rewards,contributions
rhochmayr,https://github.com/rhochmayr,,15000,https://github.com/rhochmayr/ollama-deepseek-r1-7b/tree/1.0.0;https://github.com/rhochmayr/ollama-llama3.2-3b/tree/1.0.0;https://github.com/rhochmayr/ollama-qwen2.5-coder-7b/tree/1.0.0
jamiebones,https://github.com/jamiebones,,5000,https://github.com/jamiebones/Spark-TTS-0.5B
